date,semaine_cdc,regroupement,variant,proportion
2025-03-09,11,MC.10.1,4,7.6923077
2025-03-09,11,MC.10.2,1,1.9230769
2025-03-09,11,MC.11,0,0
2025-03-09,11,MC.13,0,0
2025-03-09,11,MC.13.2,0,0
2025-03-09,11,MC.16,0,0
2025-03-09,11,MC.19,0,0
2025-03-09,11,MC.19.1,2,3.8461538
2025-03-09,11,MC.2,0,0
2025-03-09,11,MC.21.1,2,3.8461538
2025-03-09,11,MC.28.1,0,0
2025-03-09,11,MC.4,0,0
2025-03-09,11,MC.6,0,0
2025-03-09,11,MC.9,0,0
2025-03-09,11,MV.1,0,0
2025-03-09,11,NF.1,0,0
2025-03-09,11,NL.2,0,0
2025-03-09,11,NL.3,0,0
2025-03-09,11,NL.4,2,3.8461538
2025-03-09,11,XEC,10,19.230769
2025-03-09,11,XEC.1,0,0
2025-03-09,11,XEC.11,1,1.9230769
2025-03-09,11,XEC.13,1,1.9230769
2025-03-09,11,XEC.14,0,0
2025-03-09,11,XEC.16,0,0
2025-03-09,11,XEC.2,2,3.8461538
2025-03-09,11,XEC.2.1,1,1.9230769
2025-03-09,11,XEC.2.2,0,0
2025-03-09,11,XEC.4,2,3.8461538
2025-03-09,11,XEC.6,2,3.8461538
2025-03-09,11,XEC.8,0,0
2025-03-09,11,XEC.9,1,1.9230769
2025-03-09,11,XEK,0,0
2025-03-09,11,XEK.1,0,0
2025-03-09,11,XEM,0,0
