date,site,nom_site,cible,valeur,unite,fraction,drapeau_qualite
2021-07-01,MMN,Montréal Nord,covN2,3,gcML,solid,0
2021-07-01,MMN,Montréal Nord,nPPMoV,104688.3535493751,gcML,solid,0
2021-07-01,MMS,Montréal Sud,covN1,3.307280021244677,gcML,solid,0
2021-07-01,MMS,Montréal Sud,covN2,1,gcML,solid,0
2021-07-01,MMS,Montréal Sud,nPPMoV,34323.19450884967,gcML,solid,0
2021-07-04,MMN,Montréal Nord,covN1,3,gcML,solid,0
2021-07-04,MMN,Montréal Nord,covN2,3,gcML,solid,0
2021-07-04,MMN,Montréal Nord,nPPMoV,74236.41714773141,gcML,solid,0
2021-07-04,MMS,Montréal Sud,covN1,3,gcML,solid,0
2021-07-04,MMS,Montréal Sud,covN2,3,gcML,solid,0
2021-07-04,MMS,Montréal Sud,nPPMoV,385636.3268359348,gcML,solid,0
2021-07-08,MMN,Montréal Nord,covN1,4.313618348060683,gcML,solid,0
2021-07-08,MMN,Montréal Nord,covN2,3,gcML,solid,0
2021-07-08,MMN,Montréal Nord,nPPMoV,75935.89587698839,gcML,solid,0
2021-07-08,MMS,Montréal Sud,covN1,1,gcML,solid,0
2021-07-08,MMS,Montréal Sud,covN2,3,gcML,solid,0
2021-07-08,MMS,Montréal Sud,nPPMoV,70277.8160338155,gcML,solid,0
2021-07-11,MMN,Montréal Nord,covN1,3,gcML,solid,0
2021-07-11,MMN,Montréal Nord,covN2,1,gcML,solid,0
2021-07-11,MMN,Montréal Nord,nPPMoV,57834.47982432989,gcML,solid,0
2021-07-11,MMS,Montréal Sud,covN1,1,gcML,solid,0
2021-07-11,MMS,Montréal Sud,covN2,1,gcML,solid,0
2021-07-11,MMS,Montréal Sud,nPPMoV,85076.569180876,gcML,solid,0
2021-07-15,MMN,Montréal Nord,covN1,3,gcML,solid,0
2021-07-15,MMN,Montréal Nord,covN2,3,gcML,solid,0
2021-07-15,MMN,Montréal Nord,nPPMoV,39149.86601172158,gcML,solid,0
2021-07-15,MMS,Montréal Sud,covN1,1,gcML,solid,0
2021-07-15,MMS,Montréal Sud,covN2,4.975528747893342,gcML,solid,0
2021-07-15,MMS,Montréal Sud,nPPMoV,46406.74094437798,gcML,solid,0
2021-07-18,MMN,Montréal Nord,covN1,3,gcML,solid,0
2021-07-18,MMN,Montréal Nord,covN2,3,gcML,solid,0
2021-07-18,MMN,Montréal Nord,nPPMoV,48681.24576286976,gcML,solid,0
2021-07-18,MMS,Montréal Sud,covN1,3,gcML,solid,0
2021-07-18,MMS,Montréal Sud,covN2,3,gcML,solid,0
2021-07-18,MMS,Montréal Sud,nPPMoV,36965.63292753871,gcML,solid,0
2021-07-22,MMN,Montréal Nord,covN1,3,gcML,solid,0
2021-07-22,MMN,Montréal Nord,covN2,3,gcML,solid,0
2021-07-22,MMN,Montréal Nord,nPPMoV,16827.41982648672,gcML,solid,0
2021-07-22,MMS,Montréal Sud,covN1,3,gcML,solid,0
2021-07-22,MMS,Montréal Sud,covN2,3,gcML,solid,0
2021-07-22,MMS,Montréal Sud,nPPMoV,9375.915782564818,gcML,solid,0
2021-07-25,MMN,Montréal Nord,covN1,3,gcML,solid,0
2021-07-25,MMN,Montréal Nord,covN2,4.007547571868598,gcML,solid,0
2021-07-25,MMN,Montréal Nord,nPPMoV,16179.30282664796,gcML,solid,0
2021-07-25,MMS,Montréal Sud,covN1,4.637385863761974,gcML,solid,0
2021-07-25,MMS,Montréal Sud,covN2,4.38864356479036,gcML,solid,0
2021-07-25,MMS,Montréal Sud,nPPMoV,22032.31787632254,gcML,solid,0
2021-07-29,MMN,Montréal Nord,covN1,3.376159978351652,gcML,solid,0
2021-07-29,MMN,Montréal Nord,covN2,4.582867728441476,gcML,solid,0
2021-07-29,MMN,Montréal Nord,nPPMoV,33065.41987403746,gcML,solid,0
2021-07-29,MMS,Montréal Sud,covN1,3,gcML,solid,0
2021-07-29,MMS,Montréal Sud,covN2,3,gcML,solid,0
2021-07-29,MMS,Montréal Sud,nPPMoV,26320.29928880017,gcML,solid,0
2021-08-01,MMN,Montréal Nord,covN1,3.812964643974195,gcML,solid,0
2021-08-01,MMN,Montréal Nord,covN2,3.433752041049714,gcML,solid,0
2021-08-01,MMN,Montréal Nord,nPPMoV,27301.56160038832,gcML,solid,0
2021-08-01,MMS,Montréal Sud,covN1,3,gcML,solid,0
2021-08-01,MMS,Montréal Sud,covN2,3,gcML,solid,0
2021-08-01,MMS,Montréal Sud,nPPMoV,16724.88175510004,gcML,solid,0
2021-08-05,MMN,Montréal Nord,covN1,4.538071249109602,gcML,solid,0
2021-08-05,MMN,Montréal Nord,covN2,8.472271325777772,gcML,solid,0
2021-08-05,MMN,Montréal Nord,nPPMoV,75504.90628225915,gcML,solid,0
2021-08-05,MMS,Montréal Sud,covN1,3,gcML,solid,0
2021-08-05,MMS,Montréal Sud,covN2,8.099474564540463,gcML,solid,0
2021-08-05,MMS,Montréal Sud,nPPMoV,82812.72193118019,gcML,solid,0
2021-08-08,MMN,Montréal Nord,covN1,7.023257318503736,gcML,solid,0
2021-08-08,MMN,Montréal Nord,covN2,12.09669156692992,gcML,solid,0
2021-08-08,MMN,Montréal Nord,nPPMoV,77826.16230217894,gcML,solid,0
2021-08-08,MMS,Montréal Sud,covN1,3.341538157078234,gcML,solid,0
2021-08-08,MMS,Montréal Sud,covN2,3,gcML,solid,0
2021-08-08,MMS,Montréal Sud,nPPMoV,59316.97760443851,gcML,solid,0
2021-08-12,MMN,Montréal Nord,covN1,7.879363391195313,gcML,solid,0
2021-08-12,MMN,Montréal Nord,covN2,17.96206656152647,gcML,solid,0
2021-08-12,MMN,Montréal Nord,nPPMoV,67270.76591660439,gcML,solid,0
2021-08-12,MMS,Montréal Sud,covN1,11.03506287566486,gcML,solid,0
2021-08-12,MMS,Montréal Sud,covN2,8.497821792367686,gcML,solid,0
2021-08-12,MMS,Montréal Sud,nPPMoV,66747.04139777708,gcML,solid,0
2021-08-15,MMN,Montréal Nord,covN1,9.919893852439623,gcML,solid,0
2021-08-15,MMN,Montréal Nord,covN2,17.53658238691302,gcML,solid,0
2021-08-15,MMN,Montréal Nord,nPPMoV,53259.94376260735,gcML,solid,0
2021-08-15,MMS,Montréal Sud,covN1,4.234879637813083,gcML,solid,0
2021-08-15,MMS,Montréal Sud,covN2,7.729321217630119,gcML,solid,0
2021-08-15,MMS,Montréal Sud,nPPMoV,33559.71807709344,gcML,solid,0
2021-08-19,MMN,Montréal Nord,covN1,25.79638162102145,gcML,solid,0
2021-08-19,MMN,Montréal Nord,covN2,25.16205937113543,gcML,solid,0
2021-08-19,MMN,Montréal Nord,nPPMoV,116262.9577009383,gcML,solid,0
2021-08-19,MMS,Montréal Sud,covN1,3,gcML,solid,0
2021-08-19,MMS,Montréal Sud,covN2,10.09000320196034,gcML,solid,0
2021-08-19,MMS,Montréal Sud,nPPMoV,33156.64017570832,gcML,solid,0
2021-08-22,MMN,Montréal Nord,covN1,7.386628341754108,gcML,solid,0
2021-08-22,MMN,Montréal Nord,covN2,13.5582832495587,gcML,solid,0
2021-08-22,MMN,Montréal Nord,nPPMoV,57068.33435331115,gcML,solid,0
2021-08-22,MMS,Montréal Sud,covN1,5.084468944724094,gcML,solid,0
2021-08-22,MMS,Montréal Sud,covN2,4.539587006514515,gcML,solid,0
2021-08-22,MMS,Montréal Sud,nPPMoV,33633.68840831287,gcML,solid,0
2021-08-26,MMN,Montréal Nord,covN1,8.80848912967234,gcML,solid,0
2021-08-26,MMN,Montréal Nord,covN2,15.43048769382905,gcML,solid,0
2021-08-26,MMN,Montréal Nord,nPPMoV,38718.92004863253,gcML,solid,0
2021-08-26,MMS,Montréal Sud,covN1,3,gcML,solid,0
2021-08-26,MMS,Montréal Sud,covN2,7.901171459031135,gcML,solid,0
2021-08-26,MMS,Montréal Sud,nPPMoV,20099.0367754259,gcML,solid,0
2021-08-29,MMN,Montréal Nord,covN1,9.495697788764645,gcML,solid,0
2021-08-29,MMN,Montréal Nord,covN2,20.78722999394226,gcML,solid,0
2021-08-29,MMN,Montréal Nord,nPPMoV,29811.06074451443,gcML,solid,0
2021-08-29,MMS,Montréal Sud,covN1,7.503210289108787,gcML,solid,0
2021-08-29,MMS,Montréal Sud,covN2,16.519836938860202,gcML,solid,0
2021-08-29,MMS,Montréal Sud,nPPMoV,22201.37388148232,gcML,solid,0
2021-09-02,MMN,Montréal Nord,covN1,14.95624539439456,gcML,solid,0
2021-09-02,MMN,Montréal Nord,covN2,19.06218246910168,gcML,solid,0
2021-09-02,MMN,Montréal Nord,nPPMoV,35938.10747723369,gcML,solid,0
2021-09-02,MMS,Montréal Sud,covN1,5.471566932143574,gcML,solid,0
2021-09-02,MMS,Montréal Sud,covN2,7.770913459408508,gcML,solid,0
2021-09-02,MMS,Montréal Sud,nPPMoV,17816.06232655605,gcML,solid,0
2021-09-05,MMN,Montréal Nord,covN1,7.416725548014449,gcML,solid,0
2021-09-05,MMN,Montréal Nord,covN2,23.98832042516574,gcML,solid,0
2021-09-05,MMN,Montréal Nord,nPPMoV,46688.73686152218,gcML,solid,0
2021-09-05,MMS,Montréal Sud,covN1,4.888665426138642,gcML,solid,0
2021-09-05,MMS,Montréal Sud,covN2,6.520210441078207,gcML,solid,0
2021-09-05,MMS,Montréal Sud,nPPMoV,26394.18606333941,gcML,solid,0
2021-09-09,MMN,Montréal Nord,covN1,32.23235131102693,gcML,solid,0
2021-09-09,MMN,Montréal Nord,covN2,28.17777792595473,gcML,solid,0
2021-09-09,MMN,Montréal Nord,nPPMoV,81095.31718960995,gcML,solid,0
2021-09-09,MMS,Montréal Sud,covN1,8.07348865737384,gcML,solid,0
2021-09-09,MMS,Montréal Sud,covN2,15.018218660544,gcML,solid,0
2021-09-09,MMS,Montréal Sud,nPPMoV,198297.122021409,gcML,solid,0
2021-09-12,MMN,Montréal Nord,covN1,18.12504929403504,gcML,solid,0
2021-09-12,MMN,Montréal Nord,covN2,42.16149240276887,gcML,solid,0
2021-09-12,MMN,Montréal Nord,nPPMoV,97980.08675945523,gcML,solid,0
2021-09-12,MMS,Montréal Sud,covN1,7.161060982643104,gcML,solid,0
2021-09-12,MMS,Montréal Sud,covN2,14.72852457790538,gcML,solid,0
2021-09-12,MMS,Montréal Sud,nPPMoV,69215.3402232002,gcML,solid,0
2021-09-16,MMN,Montréal Nord,covN1,13.07810937496217,gcML,solid,0
2021-09-16,MMN,Montréal Nord,covN2,25.14108730509453,gcML,solid,0
2021-09-16,MMN,Montréal Nord,nPPMoV,66744.08483857482,gcML,solid,0
2021-09-16,MMS,Montréal Sud,covN1,9.811723710583998,gcML,solid,0
2021-09-16,MMS,Montréal Sud,covN2,19.16012158159102,gcML,solid,0
2021-09-16,MMS,Montréal Sud,nPPMoV,70109.76660865327,gcML,solid,0
2021-09-19,MMN,Montréal Nord,covN1,11.58831443464757,gcML,solid,0
2021-09-19,MMN,Montréal Nord,covN2,20.82283448956458,gcML,solid,0
2021-09-19,MMN,Montréal Nord,nPPMoV,105047.5440355253,gcML,solid,0
2021-09-19,MMS,Montréal Sud,covN1,7.161883398423699,gcML,solid,0
2021-09-19,MMS,Montréal Sud,covN2,10.83401571747774,gcML,solid,0
2021-09-19,MMS,Montréal Sud,nPPMoV,66028.13432672017,gcML,solid,0
2021-09-23,MMN,Montréal Nord,covN1,5.124624036085104,gcML,solid,0
2021-09-23,MMN,Montréal Nord,covN2,10.17242483111516,gcML,solid,0
2021-09-23,MMN,Montréal Nord,nPPMoV,52467.06240859632,gcML,solid,0
2021-09-23,MMS,Montréal Sud,covN1,7.541166405674415,gcML,solid,0
2021-09-23,MMS,Montréal Sud,covN2,13.09959936951351,gcML,solid,0
2021-09-23,MMS,Montréal Sud,nPPMoV,78226.82254811193,gcML,solid,0
2021-09-26,MMN,Montréal Nord,covN1,9.936359764322678,gcML,solid,0
2021-09-26,MMN,Montréal Nord,covN2,20.43177420409884,gcML,solid,0
2021-09-26,MMN,Montréal Nord,nPPMoV,167612.2279192678,gcML,solid,0
2021-09-26,MMS,Montréal Sud,covN1,3,gcML,solid,0
2021-09-26,MMS,Montréal Sud,covN2,5.21434545393793,gcML,solid,0
2021-09-26,MMS,Montréal Sud,nPPMoV,49604.13902546166,gcML,solid,0
2021-09-30,MMN,Montréal Nord,covN1,7.225205410245809,gcML,solid,0
2021-09-30,MMN,Montréal Nord,covN2,8.905563696913692,gcML,solid,0
2021-09-30,MMN,Montréal Nord,nPPMoV,99669.4395339259,gcML,solid,0
2021-09-30,MMS,Montréal Sud,covN1,4.94617950758089,gcML,solid,0
2021-09-30,MMS,Montréal Sud,covN2,8.64784624468214,gcML,solid,0
2021-09-30,MMS,Montréal Sud,nPPMoV,100109.0887120985,gcML,solid,0
2021-10-03,MMN,Montréal Nord,covN1,12.92148670376074,gcML,solid,0
2021-10-03,MMN,Montréal Nord,covN2,24.35662959776656,gcML,solid,0
2021-10-03,MMN,Montréal Nord,nPPMoV,78017.71911461803,gcML,solid,0
2021-10-03,MMS,Montréal Sud,covN1,4.58580895004822,gcML,solid,0
2021-10-03,MMS,Montréal Sud,covN2,11.17101675038459,gcML,solid,0
2021-10-03,MMS,Montréal Sud,nPPMoV,49369.22702117546,gcML,solid,0
2021-10-07,MMN,Montréal Nord,covN1,12.59000793525982,gcML,solid,0
2021-10-07,MMN,Montréal Nord,covN2,18.20566413197057,gcML,solid,0
2021-10-07,MMN,Montréal Nord,nPPMoV,110949.4375662522,gcML,solid,0
2021-10-07,MMS,Montréal Sud,covN1,4.748881125320146,gcML,solid,0
2021-10-07,MMS,Montréal Sud,covN2,12.94986863004199,gcML,solid,0
2021-10-07,MMS,Montréal Sud,nPPMoV,60521.93395179963,gcML,solid,0
2021-10-10,MMN,Montréal Nord,covN1,8.052617420423001,gcML,solid,0
2021-10-10,MMN,Montréal Nord,covN2,20.90908994062715,gcML,solid,0
2021-10-10,MMN,Montréal Nord,nPPMoV,156592.6976584948,gcML,solid,0
2021-10-10,MMS,Montréal Sud,covN1,4.233457987156391,gcML,solid,0
2021-10-10,MMS,Montréal Sud,covN2,8.59499878015833,gcML,solid,0
2021-10-10,MMS,Montréal Sud,nPPMoV,42515.50557572138,gcML,solid,0
2021-10-14,MMN,Montréal Nord,covN1,13.54108583115675,gcML,solid,0
2021-10-14,MMN,Montréal Nord,covN2,17.58462762370221,gcML,solid,0
2021-10-14,MMN,Montréal Nord,nPPMoV,141484.7898995512,gcML,solid,0
2021-10-14,MMS,Montréal Sud,covN1,6.415264325988606,gcML,solid,0
2021-10-14,MMS,Montréal Sud,covN2,9.041394732853238,gcML,solid,0
2021-10-14,MMS,Montréal Sud,nPPMoV,78071.41569121907,gcML,solid,0
2021-10-17,MMN,Montréal Nord,covN1,9.553805109957983,gcML,solid,0
2021-10-17,MMN,Montréal Nord,covN2,32.82881409427195,gcML,solid,0
2021-10-17,MMN,Montréal Nord,nPPMoV,72468.5780798976,gcML,solid,0
